"id","title","kind","category","search_title","wikipedia_title","wikipedia_url","confidence","snippet"
"ad-line","Accumulation / Distribution Line","İndikatör","Hacim","Accumulation","Accumulation","https://en.wikipedia.org/wiki/Accumulation","high","Look up accumulation, accumulate, cumulative, or cumulate in Wiktionary, the free dictionary. Accumulation may refer to: Accumulation function, a mathematical"
"adr","ADR — Average Daily Range","İndikatör","Risk / Volatilite","ADR","ADR","https://en.wikipedia.org/wiki/ADR","high","ADR or adr may refer to: Accident data recorder, or flight data recorder Adria Airways, an airline of Slovenia IATA airport code for Robert F. Swinnie"
"ad-line-breadth","Advance / Decline Line","İndikatör","Piyasa Genişliği","Advance","Advance","https://en.wikipedia.org/wiki/Advance","high","Look up advance in Wiktionary, the free dictionary. Advance commonly refers to: Advance, an offensive push in sports, games, thoughts, military combat"
"adx-dmi","ADX / DMI","İndikatör","Trend","ADX","ADX Florence","https://en.wikipedia.org/wiki/ADX_Florence","high","Administrative Maximum Facility (abbreviated as USP Florence ADMAX; commonly known as ADX Florence, Florence Supermax, and the Alcatraz of the Rockies) is a United"
"alma","ALMA — Arnaud Legoux Moving Average","İndikatör","Trend / Ortalama","ALMA","Alma","https://en.wikipedia.org/wiki/Alma","high","Look up Alma, alma, or álma in Wiktionary, the free dictionary. Alma or ALMA may refer to: Alma (film), a 2009 Spanish short animated film Alma, an upcoming"
