"id","title","kind","category","entry_chars","wikipedia_source_count","wikipedia_titles","coverage_score","title_match_score","needs_rewrite","review_status","source_errors","wikipedia_urls"
"ppo","PPO — Percentage Price Oscillator","İndikatör","Momentum","6207","4","Moving average | Relative strength index | Stochastic oscillator | Technical indicator","22,5","25","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Relative_strength_index https://en.wikipedia.org/wiki/Stochastic_oscillator https://en.wikipedia.org/wiki/Technical_indicator"
"profit-factor","Profit Factor","Kavram","","4072","2","Technical analysis | Technical indicator","15","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Technical_indicator"
"pullback","Pullback","Kavram","","4014","2","Technical analysis | Technical indicator","15","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Technical_indicator"
"put-call","Put/Call Ratio","İndikatör","Piyasa Genişliği","5998","3","Moving average | Technical analysis | Technical indicator","15","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Technical_indicator"
"relative-strength","Relative Strength vs Benchmark","İndikatör","Piyasa Genişliği","6352","3","Moving average | Technical analysis | Technical indicator","10","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Technical_indicator"
"risk-reward","Risk / Reward","Kavram","","4021","2","Technical analysis | Technical indicator","15","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Technical_indicator"
"risk-management","Risk Yönetimi","Kavram","","4022","2","Technical analysis | Technical indicator","15","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Technical_indicator"
"roc","ROC — Rate of Change","İndikatör","Momentum","6117","3","Relative strength index | Stochastic oscillator | Technical indicator","25","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Relative_strength_index https://en.wikipedia.org/wiki/Stochastic_oscillator https://en.wikipedia.org/wiki/Technical_indicator"
"rsi","RSI — Relative Strength Index","İndikatör","Momentum","6054","2","Relative strength index | Technical indicator","15","80","False","needs_translation_review","","https://en.wikipedia.org/wiki/Relative_strength_index https://en.wikipedia.org/wiki/Technical_indicator"
"rvi","RVI — Relative Vigor Index","İndikatör","Momentum","5400","4","Moving average | Relative strength index | Stochastic oscillator | Technical indicator","20","50","False","pass","","https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Relative_strength_index https://en.wikipedia.org/wiki/Stochastic_oscillator https://en.wikipedia.org/wiki/Technical_indicator"
"scalping","Scalping","Trading Stili","Zaman Dilimi","2321","3","Scalping (trading) | Technical analysis | Trading strategy","10","80","False","needs_translation_review","","https://en.wikipedia.org/wiki/Scalping_(trading) https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"sharpe-ratio","Sharpe Ratio","Performans Ölçütü","Portföy / Risk","2490","3","Sharpe ratio | Technical analysis | Trading strategy","10","100","False","needs_translation_review","","https://en.wikipedia.org/wiki/Sharpe_ratio https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"shooting-star","Shooting Star","Mum Formasyonu","Candlestick","2308","3","Candlestick pattern | Technical analysis | Trading strategy","12,5","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Candlestick_pattern https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"sma","SMA — Basit Hareketli Ortalama","İndikatör","Trend","6117","2","Moving average | Technical indicator","12,5","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Technical_indicator"
"sortino-ratio","Sortino Ratio","Performans Ölçütü","Portföy / Risk","2443","3","Sortino ratio | Technical analysis | Trading strategy","17,5","100","False","needs_translation_review","","https://en.wikipedia.org/wiki/Sortino_ratio https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"slippage-spread","Spread ve Slippage","Kavram","","3840","2","Order book | Slippage (finance)","17,1","50","False","needs_translation_review","","https://en.wikipedia.org/wiki/Order_book https://en.wikipedia.org/wiki/Slippage_(finance)"
"squeeze-momentum","Squeeze Momentum","İndikatör","Volatilite / Momentum","6436","5","Average true range | Moving average | Relative strength index | Stochastic oscillator | Technical indicator","27,5","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Average_true_range https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Relative_strength_index https://en.wikipedia.org/wiki/Stochastic_oscillator https://en.wikipedia.org/wiki/Technical_indicator"
"stddev","Standard Deviation","İndikatör","Risk / Volatilite","5764","2","Bollinger Bands | Volatility (finance)","20","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Bollinger_Bands https://en.wikipedia.org/wiki/Volatility_(finance)"
"stochastic","Stochastic Oscillator","İndikatör","Momentum","5050","2","Stochastic oscillator | Technical indicator","20","100","False","pass","","https://en.wikipedia.org/wiki/Stochastic_oscillator https://en.wikipedia.org/wiki/Technical_indicator"
"stoch-rsi","Stochastic RSI","İndikatör","Momentum","5803","2","Relative strength index | Stochastic oscillator","15","50","False","needs_translation_review","","https://en.wikipedia.org/wiki/Relative_strength_index https://en.wikipedia.org/wiki/Stochastic_oscillator"
"stop-loss","Stop Loss","Kavram","","4013","2","Technical analysis | Technical indicator","15","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Technical_indicator"
"stop-order","Stop Order","Emir Tipi","Risk / Emir","2625","3","Order (exchange) | Technical analysis | Trading strategy","12,5","50","False","needs_translation_review","","https://en.wikipedia.org/wiki/Order_(exchange)#Stop_orders https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"stop-limit-order","Stop-limit Order","Emir Tipi","Risk / Emir","2656","3","Order (exchange) | Technical analysis | Trading strategy","10","33,3","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Order_(exchange)#Stop-limit_order https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"supertrend","Supertrend","İndikatör","Trend","5952","2","Moving average | Technical indicator","15","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Technical_indicator"
"swing-high-low","Swing High / Swing Low","Kavram","Piyasa Yapısı","2229","2","Technical analysis | Trading strategy","15","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"swing-trading","Swing Trading","Trading Stili","Zaman Dilimi","2311","3","Swing trading | Technical analysis | Trading strategy","17,5","100","False","needs_translation_review","","https://en.wikipedia.org/wiki/Swing_trading https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"t3","T3 Moving Average","İndikatör","Trend / Ortalama","6129","2","Moving average | Technical indicator","12,5","80","False","needs_translation_review","","https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Technical_indicator"
"take-profit","Take Profit","Kavram","","3987","2","Technical analysis | Technical indicator","15","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Technical_indicator"
"tema","TEMA — Triple EMA","İndikatör","Trend","5674","1","Moving average","10,5","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Moving_average"
"time-in-force","Time in Force","Emir Tipi","Emir / Uygulama","2584","3","Order (exchange) | Technical analysis | Trading strategy","10","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Order_(exchange) https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"trailing-stop","Trailing Stop","Emir Tipi","Risk / Çıkış","2590","3","Order (exchange) | Technical analysis | Trading strategy","10","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Order_(exchange)#Trailing_stop_order https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"trend","Trend","Kavram","","4346","3","Average directional movement index | Moving average | Technical analysis","10","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Average_directional_movement_index https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Technical_analysis"
"trend-following","Trend Following","Trading Stili","Sistem","2357","3","Technical analysis | Trading strategy | Trend following","17,5","100","False","needs_translation_review","","https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy https://en.wikipedia.org/wiki/Trend_following"
"trendline","Trendline","Kavram","Piyasa Yapısı","2244","3","Technical analysis | Trading strategy | Trend line (technical analysis)","15","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy https://en.wikipedia.org/wiki/Trend_line_(technical_analysis)"
"trin","TRIN / Arms Index","İndikatör","Piyasa Genişliği","5985","2","Technical analysis | Technical indicator","20","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Technical_indicator"
"trix","TRIX","İndikatör","Momentum","5762","2","Moving average | Trix (technical analysis)","16,7","80","False","needs_translation_review","","https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Trix_(technical_analysis)"
"triangle-pattern","Triangle Pattern","Formasyon","Chart Pattern","2338","3","Chart pattern | Technical analysis | Trading strategy","12,5","50","False","needs_translation_review","","https://en.wikipedia.org/wiki/Chart_pattern https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"tsi","TSI — True Strength Index","İndikatör","Momentum","5303","4","Moving average | Relative strength index | Stochastic oscillator | Technical indicator","20","50","False","pass","","https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Relative_strength_index https://en.wikipedia.org/wiki/Stochastic_oscillator https://en.wikipedia.org/wiki/Technical_indicator"
"ulcer-index","Ulcer Index","İndikatör","Risk / Volatilite","5636","2","Drawdown (economics) | Ulcer index","12,9","100","False","needs_translation_review","","https://en.wikipedia.org/wiki/Drawdown_(economics) https://en.wikipedia.org/wiki/Ulcer_index"
"ultimate-oscillator","Ultimate Oscillator","İndikatör","Momentum","5392","4","Moving average | Relative strength index | Stochastic oscillator | Technical indicator","20","50","False","pass","","https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Relative_strength_index https://en.wikipedia.org/wiki/Stochastic_oscillator https://en.wikipedia.org/wiki/Technical_indicator"
"volatilite","Volatilite","Kavram","","4223","3","Average true range | Bollinger Bands | Volatility (finance)","27,5","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Average_true_range https://en.wikipedia.org/wiki/Bollinger_Bands https://en.wikipedia.org/wiki/Volatility_(finance)"
"volume-ma-rvol","Volume MA / RVOL","İndikatör","Hacim","5330","5","Accumulation/distribution index | Money flow index | Moving average | On-balance volume | Technical indicator","30","50","False","pass","","https://en.wikipedia.org/wiki/Accumulation/distribution_index https://en.wikipedia.org/wiki/Money_flow_index https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/On-balance_volume https://en.wikipedia.org/wiki/Technical_indicator"
"volume-profile","Volume Profile","İndikatör","Hacim","5434","5","Accumulation/distribution index | Money flow index | Moving average | On-balance volume | Technical indicator","30","50","False","pass","","https://en.wikipedia.org/wiki/Accumulation/distribution_index https://en.wikipedia.org/wiki/Money_flow_index https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/On-balance_volume https://en.wikipedia.org/wiki/Technical_indicator"
"vortex","Vortex Indicator","İndikatör","Trend / Momentum","6008","2","Average directional movement index | Vortex indicator","20","100","False","pass","","https://en.wikipedia.org/wiki/Average_directional_movement_index https://en.wikipedia.org/wiki/Vortex_indicator"
"vwap","VWAP","İndikatör","Hacim","6204","5","Accumulation/distribution index | Money flow index | Moving average | On-balance volume | Technical indicator","30","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Accumulation/distribution_index https://en.wikipedia.org/wiki/Money_flow_index https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/On-balance_volume https://en.wikipedia.org/wiki/Technical_indicator"
"vwma","VWMA — Volume Weighted MA","İndikatör","Hacim","6286","5","Accumulation/distribution index | Money flow index | Moving average | On-balance volume | Technical indicator","32,5","33,3","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Accumulation/distribution_index https://en.wikipedia.org/wiki/Money_flow_index https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/On-balance_volume https://en.wikipedia.org/wiki/Technical_indicator"
"walk-forward","Walk-Forward Test","Kavram","","4179","2","Technical analysis | Technical indicator","15","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Technical_indicator"
"wedge-pattern","Wedge Pattern","Formasyon","Chart Pattern","2287","3","Chart pattern | Technical analysis | Trading strategy","12,5","50","False","needs_translation_review","","https://en.wikipedia.org/wiki/Chart_pattern https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"williams-r","Williams %R","İndikatör","Momentum","5733","2","Stochastic oscillator | Williams %R","17,5","100","False","needs_translation_review","","https://en.wikipedia.org/wiki/Stochastic_oscillator https://en.wikipedia.org/wiki/Williams_%25R"
"win-rate","Win Rate","Kavram","","4067","2","Technical analysis | Technical indicator","15","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Technical_indicator"
"wma","WMA — Ağırlıklı Hareketli Ortalama","İndikatör","Trend","5779","1","Moving average","10,5","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Moving_average"
"yatay-piyasa","Yatay Piyasa","Kavram","","4241","2","Average directional movement index | Technical analysis","5","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Average_directional_movement_index https://en.wikipedia.org/wiki/Technical_analysis"
"timeframe","Zaman Dilimi","Kavram","","4115","2","Technical analysis | Technical indicator","15","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Technical_indicator"
"zlema","ZLEMA — Zero Lag EMA","İndikatör","Trend / Hızlı Ortalama","6183","2","Moving average | Technical indicator","15","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Technical_indicator"
