"id","title","kind","category","entry_chars","wikipedia_source_count","wikipedia_titles","coverage_score","title_match_score","needs_rewrite","review_status","source_errors","wikipedia_urls"
"chandelier","Chandelier Exit","İndikatör","Risk / Volatilite","6056","5","Average true range | Drawdown (economics) | Moving average | Technical indicator | Volatility (finance)","32,5","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Average_true_range https://en.wikipedia.org/wiki/Drawdown_(economics) https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Technical_indicator https://en.wikipedia.org/wiki/Volatility_(finance)"
"choppiness-index","Choppiness Index","İndikatör","Piyasa Rejimi","6264","3","Moving average | Technical analysis | Technical indicator","12,5","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Technical_indicator"
"coppock","Coppock Curve","İndikatör","Momentum / Uzun Vade","6337","4","Moving average | Relative strength index | Stochastic oscillator | Technical indicator","20","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Relative_strength_index https://en.wikipedia.org/wiki/Stochastic_oscillator https://en.wikipedia.org/wiki/Technical_indicator"
"crypto-perpetual","Crypto Perpetual Futures","Piyasa","Türev Ürün","2318","3","Futures contract | Technical analysis | Trading strategy","20","33,3","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Futures_contract https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"cup-and-handle","Cup and Handle","Formasyon","Chart Pattern","2349","3","Cup and handle | Technical analysis | Trading strategy","7,5","100","False","needs_translation_review","","https://en.wikipedia.org/wiki/Cup_and_handle https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"exit-strategy","Çıkış Stratejisi","Kavram","","4065","2","Technical analysis | Technical indicator","15","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Technical_indicator"
"day-trading","Day Trading","Trading Stili","Zaman Dilimi","2304","3","Day trading | Technical analysis | Trading strategy","15","100","False","needs_translation_review","","https://en.wikipedia.org/wiki/Day_trading https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"dema","DEMA — Double EMA","İndikatör","Trend","5583","1","Moving average","10,5","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Moving_average"
"destek-direnc","Destek ve Direnç","Kavram","","4201","3","Fibonacci retracement | Pivot point (technical analysis) | Support and resistance","22,5","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Fibonacci_retracement https://en.wikipedia.org/wiki/Pivot_point_(technical_analysis) https://en.wikipedia.org/wiki/Support_and_resistance"
"support-resistance","Destek ve Direnç","Kavram","Piyasa Yapısı","2332","3","Support and resistance | Technical analysis | Trading strategy","10","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Support_and_resistance https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"divergence","Divergence","Kavram","","4018","2","Technical analysis | Technical indicator","17,5","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Technical_indicator"
"doji","Doji","Mum Formasyonu","Candlestick","2276","3","Doji | Technical analysis | Trading strategy","7,5","100","False","needs_translation_review","","https://en.wikipedia.org/wiki/Doji https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"donchian","Donchian Channel","İndikatör","Trend","6034","2","Moving average | Technical indicator","12,5","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Technical_indicator"
"double-top-bottom","Double Top / Double Bottom","Formasyon","Chart Pattern","2508","3","Chart pattern | Technical analysis | Trading strategy","15","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Chart_pattern https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"dpo","DPO — Detrended Price Oscillator","İndikatör","Momentum / Cycle","6345","4","Moving average | Relative strength index | Stochastic oscillator | Technical indicator","22,5","25","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Relative_strength_index https://en.wikipedia.org/wiki/Stochastic_oscillator https://en.wikipedia.org/wiki/Technical_indicator"
"drawdown","Drawdown","Kavram","","3602","1","Drawdown (economics)","14,3","80","False","needs_translation_review","","https://en.wikipedia.org/wiki/Drawdown_(economics)"
"eom","Ease of Movement","İndikatör","Hacim","6260","5","Accumulation/distribution index | Money flow index | Moving average | On-balance volume | Technical indicator","30","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Accumulation/distribution_index https://en.wikipedia.org/wiki/Money_flow_index https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/On-balance_volume https://en.wikipedia.org/wiki/Technical_indicator"
"ema","EMA — Üssel Hareketli Ortalama","İndikatör","Trend","5872","2","Moving average | Technical indicator","15","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Technical_indicator"
"engulfing","Engulfing Pattern","Mum Formasyonu","Candlestick","2352","3","Candlestick pattern | Technical analysis | Trading strategy","10","50","False","needs_translation_review","","https://en.wikipedia.org/wiki/Candlestick_pattern https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"etf","ETF — Exchange-Traded Fund","Piyasa","Enstrüman","2247","3","Exchange-traded fund | Technical analysis | Trading strategy","12,5","80","False","needs_translation_review","","https://en.wikipedia.org/wiki/Exchange-traded_fund https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"false-breakout","False Breakout","Kavram","","4071","2","Technical analysis | Technical indicator","17,5","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Technical_indicator"
"feature","Feature","Kavram","","4004","2","Technical analysis | Technical indicator","17,5","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Technical_indicator"
"fibonacci-extension","Fibonacci Extension","İndikatör","Seviye / Hedef","5311","2","Fibonacci retracement | Support and resistance","20","50","False","pass","","https://en.wikipedia.org/wiki/Fibonacci_retracement https://en.wikipedia.org/wiki/Support_and_resistance"
"fibonacci-retracement","Fibonacci Retracement","İndikatör","Seviye / Pullback","5335","2","Fibonacci retracement | Support and resistance","20","100","False","pass","","https://en.wikipedia.org/wiki/Fibonacci_retracement https://en.wikipedia.org/wiki/Support_and_resistance"
"fisher","Fisher Transform","İndikatör","Momentum","6211","4","Moving average | Relative strength index | Stochastic oscillator | Technical indicator","20","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Relative_strength_index https://en.wikipedia.org/wiki/Stochastic_oscillator https://en.wikipedia.org/wiki/Technical_indicator"
"flag-pennant","Flag / Pennant","Formasyon","Trend Devam","2379","3","Chart pattern | Technical analysis | Trading strategy","12,5","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Chart_pattern https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"force-index","Force Index","İndikatör","Hacim","5302","5","Accumulation/distribution index | Money flow index | Moving average | On-balance volume | Technical indicator","30","50","False","pass","","https://en.wikipedia.org/wiki/Accumulation/distribution_index https://en.wikipedia.org/wiki/Money_flow_index https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/On-balance_volume https://en.wikipedia.org/wiki/Technical_indicator"
"forex","Forex","Piyasa","Enstrüman","2129","3","Foreign exchange market | Technical analysis | Trading strategy","17,5","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Foreign_exchange_market https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"futures","Futures Contract","Piyasa","Türev Ürün","2198","3","Futures contract | Technical analysis | Trading strategy","20","100","False","pass","","https://en.wikipedia.org/wiki/Futures_contract https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"entry-trigger","Giriş Tetikleyici","Kavram","","4065","2","Technical analysis | Technical indicator","15","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Technical_indicator"
"gmma","GMMA — Guppy Multiple Moving Average","İndikatör","Trend / Çoklu Ortalama","6259","2","Moving average | Technical indicator","12,5","80","False","needs_translation_review","","https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Technical_indicator"
"hacim-kavram","Hacim","Kavram","","4210","4","Accumulation/distribution index | Money flow index | On-balance volume | Technical indicator","27,5","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Accumulation/distribution_index https://en.wikipedia.org/wiki/Money_flow_index https://en.wikipedia.org/wiki/On-balance_volume https://en.wikipedia.org/wiki/Technical_indicator"
"hammer","Hammer","Mum Formasyonu","Candlestick","2280","3","Candlestick pattern | Technical analysis | Trading strategy","10","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Hammer_(candlestick_pattern) https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"head-and-shoulders","Head and Shoulders","Formasyon","Chart Pattern","2387","3","Head and shoulders (chart pattern) | Technical analysis | Trading strategy","10","80","False","needs_translation_review","","https://en.wikipedia.org/wiki/Head_and_shoulders_(chart_pattern) https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
"heikin-ashi","Heikin Ashi","İndikatör","Fiyat Görselleştirme","6212","2","Moving average | Technical indicator","12,5","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Moving_average https://en.wikipedia.org/wiki/Technical_indicator"
"hft-high-frequency-trading","HFT (High-Frequency Trading)","Kavram","Piyasa Yapisi","2678","3","Algorithmic trading | High-frequency trading | Market microstructure","15","80","False","needs_translation_review","","https://en.wikipedia.org/wiki/Algorithmic_trading https://en.wikipedia.org/wiki/High-frequency_trading https://en.wikipedia.org/wiki/Market_microstructure"
"stocks","Hisse Senedi","Piyasa","Enstrüman","2139","3","Stock | Technical analysis | Trading strategy","7,5","0","True","source_title_mismatch","","https://en.wikipedia.org/wiki/Stock https://en.wikipedia.org/wiki/Technical_analysis https://en.wikipedia.org/wiki/Trading_strategy"
